             VARIABLE : zonal current (m/sec)
             DATA SET : GODAS-MOM OUTPUT
             FILENAME : uv_5day.nc
             FILEPATH : /home/las/datasets/ocean_analysis/NRIG/
             BAD FLAG : -10           
             SUBSET   : 181 by 189 points (LONGITUDE-LATITUDE)
             DEPTH (m): 5
             TIME     : 06-AUG-2016 12:00 JULIAN
  	30E  	30.5E	31E  	31.5E	32E  	32.5E	33E  	33.5E	34E  	34.5E	35E  	35.5E	36E  	36.5E	37E  	37.5E	38E  	38.5E	39E  	39.5E	40E  	40.5E	41E  	41.5E	42E  	42.5E	43E  	43.5E	44E  	44.5E	45E  	45.5E	46E  	46.5E	47E  	47.5E	48E  	48.5E	49E  	49.5E	50E  	50.5E	51E  	51.5E	52E  	52.5E	53E  	53.5E	54E  	54.5E	55E  	55.5E	56E  	56.5E	57E  	57.5E	58E  	58.5E	59E  	59.5E	60E  	60.5E	61E  	61.5E	62E  	62.5E	63E  	63.5E	64E  	64.5E	65E  	65.5E	66E  	66.5E	67E  	67.5E	68E  	68.5E	69E  	69.5E	70E  	70.5E	71E  	71.5E	72E  	72.5E	73E  	73.5E	74E  	74.5E	75E  	75.5E	76E  	76.5E	77E  	77.5E	78E  	78.5E	79E  	79.5E	80E  	80.5E	81E  	81.5E	82E  	82.5E	83E  	83.5E	84E  	84.5E	85E  	85.5E	86E  	86.5E	87E  	87.5E	88E  	88.5E	89E  	89.5E	90E  	90.5E	91E  	91.5E	92E  	92.5E	93E  	93.5E	94E  	94.5E	95E  	95.5E	96E  	96.5E	97E  	97.5E	98E  	98.5E	99E  	99.5E	100E  	100.5E	101E  	101.5E	102E  	102.5E	103E  	103.5E	104E  	104.5E	105E  	105.5E	106E  	106.5E	107E  	107.5E	108E  	108.5E	109E  	109.5E	110E  	110.5E	111E  	111.5E	112E  	112.5E	113E  	113.5E	114E  	114.5E	115E  	115.5E	116E  	116.5E	117E  	117.5E	118E  	118.5E	119E  	119.5E	120E  
15.8S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.04992638	-0.07200729	0.03301208	0.09445152	0.101734	0.08377226	0.1072835	0.134965	0.03371717	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.1048107	-0.1807827	-0.2168672	-0.2070524	-0.1894734	-0.1739869	-0.1566725	-0.1418568	-0.1370333	-0.1368648	-0.1431989	-0.1466306	-0.1529427	-0.1538244	-0.1398991	-0.1294819	-0.1324165	-0.1510136	-0.1571479	-0.1601871	-0.2022717	-0.2095124	-0.183624	-0.1752166	-0.1724984	-0.1897313	-0.219062	-0.2337787	-0.2271125	-0.2088403	-0.1814702	-0.1777732	-0.1867177	-0.2092305	-0.216104	-0.216272	-0.2022249	-0.1870467	-0.191163	-0.1957209	-0.2090126	-0.2157018	-0.2245399	-0.2532488	-0.2960764	-0.338552	-0.362676	-0.3637696	-0.3462093	-0.3158512	-0.2894081	-0.2603418	-0.2405396	-0.218637	-0.2028934	-0.1852117	-0.1731003	-0.1597262	-0.1516155	-0.1502522	-0.1628194	-0.1716614	-0.1791048	-0.1807497	-0.1805783	-0.1745292	-0.1734322	-0.1711988	-0.1619327	-0.1698516	-0.1768656	-0.1849723	-0.1875451	-0.1996709	-0.2192083	-0.2403901	-0.2569658	-0.2668084	-0.2568535	-0.2657918	-0.2903451	-0.3222896	-0.3350449	-0.330006	-0.31787	-0.29244	-0.2616212	-0.2319568	-0.2077833	-0.1887776	-0.1796064	-0.1673823	-0.1463179	-0.1145819	-0.08742604	-0.06347531	-0.03710328	-0.006796026	0.01929274	0.02112566	-0.01159022	-0.07047544	-0.1270983	-0.1668265	-0.1762793	-0.1712229	-0.1422802	-0.1214661	-0.1063809	-0.09647721	-0.08872943	-0.09383062	-0.09952898	-0.1242065	-0.1663444	-0.1944189	-0.1883069	-0.1782239	-0.1842712	-0.1994155	-0.1965828	-0.1628345	-0.1166223	-0.07608344	-0.05272233	-0.07751823	-0.1112088	-0.1380157	-0.1407884	-0.1556726	-0.1877158	-0.2131417	-0.2204818	-0.2091044	-0.2061129	-0.2089195	-0.2122947	-0.207493	-0.1782002
15.5S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	0.00245098	-0.01019348	0.02639849	0.05493156	0.05266963	0.03710664	0.04818274	0.08299755	0.1385485	0.1043513	0.03231221	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.1207155	-0.1938633	-0.2105919	-0.2003577	-0.1882142	-0.1808413	-0.1603605	-0.1458291	-0.1392939	-0.1351873	-0.1280245	-0.1160431	-0.1101498	-0.1051006	-0.09664793	-0.09361169	-0.0863478	-0.07779095	-0.07627243	-0.1066093	-0.1409733	-0.1653261	-0.165942	-0.1528797	-0.1481367	-0.1560736	-0.167841	-0.1773689	-0.1790593	-0.1652854	-0.1525499	-0.1390123	-0.1422809	-0.1538353	-0.1781317	-0.1873837	-0.1834211	-0.173413	-0.1684776	-0.186757	-0.2045316	-0.2215174	-0.2402412	-0.2715403	-0.3185737	-0.3614689	-0.3816025	-0.3732339	-0.3447799	-0.3176998	-0.2811507	-0.2551401	-0.2330577	-0.2177249	-0.2083779	-0.2096929	-0.1992766	-0.1928244	-0.1898121	-0.1928041	-0.200273	-0.210792	-0.2159054	-0.2171355	-0.2108704	-0.2080336	-0.1971147	-0.1809008	-0.1791809	-0.1837081	-0.192436	-0.1941474	-0.1972838	-0.1969153	-0.2052791	-0.207547	-0.2082294	-0.1975038	-0.1948875	-0.2028743	-0.2261522	-0.2542396	-0.2731112	-0.2636895	-0.2348289	-0.1949662	-0.1462102	-0.113006	-0.0953665	-0.09587036	-0.1070162	-0.1296105	-0.1361079	-0.1299606	-0.1132672	-0.09574015	-0.07548931	-0.04981127	-0.03242899	-0.03443065	-0.06947321	-0.1122458	-0.1578929	-0.1790181	-0.1853214	-0.1617779	-0.1244784	-0.08895545	-0.05895363	-0.04304896	-0.05516031	-0.07019094	-0.09965897	-0.1384171	-0.1835703	-0.2027311	-0.1832437	-0.1556598	-0.1566019	-0.1706238	-0.1661266	-0.1117986	-0.06547526	-0.02544605	-0.02248834	-0.0575433	-0.1139326	-0.1383856	-0.123798	-0.08684689	-0.08187216	-0.1027628	-0.1255819	-0.1488807	-0.1580422	-0.1720333	-0.1961125	-0.211963	-0.2199666
15.2S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	0.002770236	0.02886863	0.02751843	0.002245423	-0.02314679	-0.04641728	-0.05860177	-0.02197842	0.02610615	0.08484011	0.07179647	0.03387132	-10	-10	-10	-10	-10	-10	-10	-10	-0.1624108	-0.2133097	-0.2165418	-0.214241	-0.2253703	-0.2194426	-0.2002863	-0.1844903	-0.1714189	-0.1569349	-0.137667	-0.1147144	-0.09934262	-0.09547184	-0.09892429	-0.1062147	-0.1035628	-0.09066205	-0.07751862	-0.06917465	-0.07801106	-0.09338579	-0.1043659	-0.1195663	-0.1318778	-0.1312638	-0.1293378	-0.1267374	-0.1234514	-0.1268336	-0.121749	-0.1202656	-0.1143532	-0.121386	-0.1323035	-0.147535	-0.1527222	-0.1521926	-0.1589477	-0.1786941	-0.2070184	-0.2314278	-0.2557337	-0.2901561	-0.3323834	-0.3666361	-0.3829958	-0.3693511	-0.347538	-0.3168519	-0.2886524	-0.2599365	-0.244073	-0.2310225	-0.2300941	-0.2300435	-0.2346247	-0.2334392	-0.2354183	-0.2350069	-0.2404469	-0.2496878	-0.2559904	-0.2505086	-0.2473304	-0.234479	-0.21624	-0.2070552	-0.1984217	-0.2025368	-0.1990075	-0.2039863	-0.2010805	-0.1961981	-0.1834376	-0.1763131	-0.1559788	-0.1379991	-0.1395879	-0.156709	-0.18438	-0.2046213	-0.2102168	-0.1855567	-0.1345772	-0.07383312	-0.03034361	-0.0009550563	0.004088873	-0.005997503	-0.03299173	-0.06477948	-0.09508865	-0.1082806	-0.1067596	-0.1013954	-0.09286508	-0.08620459	-0.07777526	-0.08188938	-0.1006859	-0.1294107	-0.1520322	-0.1618768	-0.1513481	-0.1260028	-0.09210067	-0.05795978	-0.02989398	-0.02105	-0.02721955	-0.04161994	-0.0658599	-0.1093583	-0.1588383	-0.1894181	-0.1856576	-0.1476674	-0.1134965	-0.1085913	-0.08378393	-0.0425804	0.009592396	0.01801372	0.006719454	-0.03620073	-0.08072015	-0.1150567	-0.09969142	-0.05747135	-0.02400058	-0.02389588	-0.0541183	-0.08263272	-0.09939151	-0.1064924	-0.1355812	-0.1572314	-0.1584382
14.9S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	0.01008539	0.02986597	0.03860993	0.01278024	-0.05808509	-0.1143895	-0.1421769	-0.1235753	-0.0797779	-0.05163916	-0.03971146	-0.04926131	-0.01926194	-10	-10	-10	-10	-10	-10	-0.09967333	-0.2351358	-0.2353366	-0.2335625	-0.2510127	-0.2595992	-0.2542687	-0.2415048	-0.2325501	-0.2202088	-0.2038507	-0.182429	-0.1583405	-0.1416042	-0.1315108	-0.1465399	-0.1618336	-0.1529807	-0.1332603	-0.1235462	-0.08425903	-0.03706269	-0.02122305	-0.03983605	-0.09237978	-0.1231713	-0.1247419	-0.1136355	-0.09947966	-0.09606663	-0.09847941	-0.1049272	-0.1078856	-0.1112292	-0.1065471	-0.1104856	-0.1132611	-0.1239386	-0.1339415	-0.1531412	-0.1859539	-0.2187715	-0.2431318	-0.2654946	-0.2944968	-0.3201654	-0.3391254	-0.3425296	-0.3402728	-0.3337394	-0.3177471	-0.2889808	-0.2652204	-0.2456028	-0.2443345	-0.2455347	-0.2521057	-0.2570709	-0.264778	-0.266327	-0.2722357	-0.2774383	-0.2860438	-0.2839262	-0.2775808	-0.265262	-0.2498497	-0.2357745	-0.2236421	-0.2229767	-0.2134656	-0.2137321	-0.206048	-0.2032917	-0.1867658	-0.173292	-0.1482525	-0.1145515	-0.09552728	-0.09970991	-0.1293685	-0.1544624	-0.165879	-0.1511112	-0.103824	-0.03544047	0.02670682	0.07423569	0.09224727	0.09116346	0.0665289	0.03470182	-0.005361334	-0.04305455	-0.07210938	-0.0837473	-0.08148208	-0.08694295	-0.09155978	-0.09255289	-0.08493533	-0.08942049	-0.09738963	-0.1163185	-0.1200457	-0.1018452	-0.06747448	-0.03856755	-0.0186596	-0.00647687	-0.006319346	-0.02144349	-0.02568667	-0.03100431	-0.05121504	-0.08548044	-0.1114266	-0.124442	-0.1188406	-0.09030903	-0.04987668	-0.007252648	0.03841701	0.05232797	0.05229283	0.02788557	0.009469007	-0.02239873	-0.0489404	-0.05554574	-0.03079425	-0.004705593	0.001417888	-0.01007125	-0.03001821	-0.02171515	-0.01746344	-0.0442184	-0.1074838	-0.1527362
14.6S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	0.01429119	0.003324109	0.055985	0.08012848	0.01836192	-0.06947839	-0.1412979	-0.1799095	-0.2022928	-0.2045468	-0.2026212	-0.1658656	-0.1224336	-10	-10	-10	-10	-10	-10	-0.1402635	-0.2961728	-0.2562368	-0.2635956	-0.2810251	-0.2884934	-0.2855054	-0.2861323	-0.28055	-0.2727074	-0.2604626	-0.2399047	-0.2162439	-0.1912504	-0.1884581	-0.198479	-0.2058316	-0.1948398	-0.178192	-0.15483	-0.1154523	-0.06745751	-0.02909471	-0.04765511	-0.09351704	-0.1208938	-0.1206385	-0.1051215	-0.09452436	-0.09434512	-0.1051558	-0.1092124	-0.1065699	-0.1055671	-0.1075131	-0.1008594	-0.1025337	-0.1065447	-0.1261095	-0.1560267	-0.1935835	-0.2238665	-0.2461421	-0.2640047	-0.2772626	-0.2931773	-0.3011335	-0.3073146	-0.3105319	-0.306321	-0.2935625	-0.2867943	-0.2698269	-0.2628188	-0.2622457	-0.2704903	-0.2773277	-0.2862526	-0.2899363	-0.2975394	-0.298887	-0.3063015	-0.3013694	-0.2922907	-0.2745234	-0.259975	-0.2478239	-0.2382701	-0.2380393	-0.2282342	-0.2287743	-0.2186571	-0.2156325	-0.2015192	-0.19726	-0.1732468	-0.1379031	-0.1043789	-0.09298557	-0.112339	-0.140988	-0.1560826	-0.1455702	-0.1057086	-0.04031893	0.03056598	0.09898075	0.1398505	0.1561037	0.1419997	0.1153988	0.07939532	0.03973243	-0.0008203556	-0.03571747	-0.05424722	-0.05989978	-0.06617138	-0.07933851	-0.07614826	-0.06459405	-0.04473941	-0.040882	-0.04503547	-0.05162009	-0.02674451	0.0001598974	0.02324806	0.02960424	0.01992159	-0.0007727836	-0.01602987	-0.03098215	-0.01864064	-0.004527115	-0.001487117	-0.01170204	-0.02199553	-0.03927243	-0.04363124	-0.002994111	0.05962138	0.08289574	0.08494844	0.06806664	0.05149166	0.04149561	0.03758234	0.01365989	-0.009113984	-0.01295676	-0.007454893	-0.00370276	-0.01141674	-0.004406698	0.03061428	0.07020867	0.05950129	0.01472014	-0.05416925
14.3S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	0.0004881781	-0.007578689	0.07057402	0.1560276	0.1397467	0.04707268	-0.05170946	-0.1527988	-0.2516262	-0.3125508	-0.3061382	-0.2478419	-0.1417141	-0.08016372	-10	-10	-10	-10	-10	-0.1668188	-0.3234114	-0.2833041	-0.2838996	-0.3040972	-0.2999737	-0.3100307	-0.3128816	-0.3091072	-0.3079191	-0.2952176	-0.2810577	-0.2603781	-0.2430159	-0.2350039	-0.2413781	-0.2459532	-0.2511183	-0.2502559	-0.2237122	-0.1875363	-0.144314	-0.1142991	-0.1110222	-0.1256819	-0.1402622	-0.1280393	-0.111242	-0.0993956	-0.1057364	-0.1169398	-0.1209163	-0.1200703	-0.1187001	-0.1100559	-0.1059798	-0.1012885	-0.1092313	-0.1284702	-0.1618396	-0.1931795	-0.2217511	-0.2414344	-0.2534672	-0.2657445	-0.2742072	-0.282204	-0.2840476	-0.2879619	-0.2857547	-0.2837963	-0.2799851	-0.2811141	-0.27895	-0.2859829	-0.2909392	-0.3013792	-0.300406	-0.3028788	-0.3033055	-0.3120698	-0.3123626	-0.3030434	-0.2743029	-0.2503283	-0.231384	-0.2270794	-0.239442	-0.2401184	-0.2423298	-0.2281855	-0.2200665	-0.2092609	-0.2163248	-0.2110836	-0.2005344	-0.1727901	-0.152056	-0.1469273	-0.1607952	-0.1817072	-0.1735292	-0.1375739	-0.08030631	-0.008048574	0.07283675	0.1364166	0.18097	0.1887606	0.1750124	0.1413459	0.09841749	0.05560775	0.02220959	-0.004170583	-0.0235642	-0.03617936	-0.04695876	-0.05362231	-0.05974207	-0.04021321	-0.01154755	0.01784889	0.02754273	0.03718942	0.05707987	0.08014317	0.08169568	0.07024299	0.03729819	0.005196611	-0.01902925	-0.02673482	-0.0241546	0.004850891	0.03473631	0.05249484	0.05397366	0.03682479	0.02295049	0.05571726	0.10028	0.112423	0.09996176	0.08608872	0.06810351	0.06795997	0.06987777	0.05699601	0.02610979	0.001247578	-0.01046333	-0.0188887	-0.01677896	0.00313845	0.06765326	0.116445	0.1187884	0.08115093	0.02967883
14S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.01739215	-0.01307214	0.09034517	0.2000868	0.2428939	0.1772977	0.06668532	-0.05883867	-0.185284	-0.2728055	-0.2921237	-0.2446955	-0.1658183	-0.01276913	-10	-10	-10	-10	-10	-0.1892419	-0.3449408	-0.3025188	-0.3076494	-0.3119127	-0.314869	-0.3162499	-0.3204423	-0.3208782	-0.3163346	-0.313275	-0.303291	-0.2899475	-0.2722153	-0.2677788	-0.27109	-0.2907121	-0.3043754	-0.3083386	-0.3073715	-0.2848786	-0.2568153	-0.2266901	-0.195224	-0.1882146	-0.1798221	-0.1562029	-0.133568	-0.1190949	-0.1174563	-0.1236238	-0.1293517	-0.1351603	-0.1337613	-0.1273151	-0.1203525	-0.1199358	-0.1293645	-0.1510242	-0.1743106	-0.198055	-0.2186792	-0.2396906	-0.2534249	-0.2591425	-0.2590198	-0.2516286	-0.2515263	-0.2525102	-0.2562468	-0.2606392	-0.2755814	-0.2909166	-0.3025073	-0.3062727	-0.3125584	-0.3144522	-0.3192655	-0.3164073	-0.3138328	-0.3056329	-0.2976503	-0.270515	-0.240117	-0.2032243	-0.1873239	-0.1975533	-0.2161809	-0.2367951	-0.2364985	-0.228561	-0.2046632	-0.1981529	-0.1968136	-0.210321	-0.2174394	-0.2223202	-0.2141311	-0.2004944	-0.199581	-0.1955091	-0.1748859	-0.129005	-0.06502393	0.01799019	0.0950052	0.1531984	0.1777485	0.1820188	0.1605678	0.1287256	0.0796991	0.04106798	0.01405631	-0.001052831	-0.00729498	-0.01276201	-0.02029404	-0.03260434	-0.03759634	-0.03562169	-0.002539205	0.03180791	0.06774072	0.09603634	0.1186163	0.1184869	0.1049009	0.0690293	0.03314378	-0.004819893	-0.01898244	-0.02587281	-0.02123892	-0.007715782	0.02233942	0.04928259	0.06411445	0.05955613	0.06577489	0.09838486	0.116358	0.1159948	0.1090523	0.09103463	0.08265498	0.08056261	0.08550149	0.07567962	0.05087321	0.0218977	-0.003674191	-0.02414995	-0.03011369	0.01009068	0.07764014	0.1159513	0.1150412	0.1067575	0.09104176
13.7S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.04390963	-0.01884507	0.09489758	0.2210812	0.2819748	0.2740206	0.1740246	0.04968664	-0.07143022	-0.1657131	-0.2001815	-0.1965115	-0.1216838	-0.07236665	-0.0214195	-10	-10	-10	-10	-0.2137585	-0.3602349	-0.3250915	-0.3197566	-0.3277521	-0.3255046	-0.3305613	-0.3290875	-0.3267419	-0.3282864	-0.329744	-0.3295957	-0.3184839	-0.3041439	-0.2907263	-0.2905442	-0.2986894	-0.3110024	-0.3243586	-0.3397413	-0.348664	-0.339686	-0.3221675	-0.2943203	-0.2698122	-0.2371249	-0.1982435	-0.1626077	-0.1344157	-0.1199399	-0.1274169	-0.1384383	-0.1450257	-0.14859	-0.1472323	-0.1511784	-0.1581816	-0.1714149	-0.1820559	-0.197708	-0.2100558	-0.2267563	-0.2452968	-0.2573726	-0.2516726	-0.2357955	-0.2240153	-0.2182979	-0.2221991	-0.2276694	-0.2427072	-0.259312	-0.2875189	-0.3085658	-0.322471	-0.3230574	-0.3246678	-0.3244389	-0.3262284	-0.3142203	-0.3005338	-0.2707725	-0.2421533	-0.200448	-0.1662405	-0.1479952	-0.1573635	-0.1839112	-0.20674	-0.220403	-0.2097877	-0.1990043	-0.1785863	-0.1738368	-0.1769567	-0.2000416	-0.219667	-0.2254009	-0.2180665	-0.213097	-0.207799	-0.1827212	-0.1341425	-0.05460736	0.02766461	0.0834654	0.1025174	0.1029682	0.09193407	0.07279064	0.04466523	0.01682175	-0.009378591	-0.02038591	-0.02904689	-0.02907445	-0.02845463	-0.03419372	-0.03216682	-0.03854991	-0.03687517	-0.0238381	0.01205734	0.05244236	0.0945475	0.1087498	0.09995803	0.06413981	0.02831601	-0.007975907	-0.02707222	-0.03550652	-0.02659126	-0.02333382	-0.01572656	-0.005629985	0.01082203	0.02484961	0.03711907	0.06208815	0.09104467	0.09365563	0.09499106	0.09002084	0.08580931	0.08398735	0.08682843	0.09136909	0.08678713	0.06527422	0.03639459	0.002286826	-0.02892389	-0.03256681	0.01411285	0.05920717	0.062874	0.06573519	0.08367028	0.101347
13.4S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.05579758	-0.04392988	0.07722136	0.2065147	0.2889716	0.2973284	0.2493244	0.1427893	0.03802358	-0.04112626	-0.09081935	-0.08431553	-0.07375704	-0.01125902	-0.01025453	-10	-10	-10	-10	-0.2749515	-0.3934401	-0.340102	-0.3355906	-0.335224	-0.3477908	-0.3433834	-0.3385615	-0.3306967	-0.33282	-0.3421361	-0.3474929	-0.3470162	-0.3311824	-0.3043511	-0.2867714	-0.2841504	-0.292486	-0.3104902	-0.3360398	-0.3637838	-0.383662	-0.3891765	-0.3671732	-0.3223895	-0.2745145	-0.2257898	-0.1804226	-0.1417863	-0.1251354	-0.1322775	-0.1493444	-0.1616513	-0.1772192	-0.1903084	-0.2035024	-0.219062	-0.2300661	-0.2359009	-0.2316112	-0.2336373	-0.2432173	-0.253923	-0.2567933	-0.242333	-0.2204672	-0.1994157	-0.1861523	-0.1796236	-0.1890242	-0.2111528	-0.2401319	-0.2691478	-0.2983351	-0.3120396	-0.3191921	-0.3172564	-0.3206819	-0.3171958	-0.3095847	-0.2827552	-0.255768	-0.2162682	-0.1804585	-0.1460471	-0.1287036	-0.1304777	-0.150898	-0.1809056	-0.200741	-0.2073211	-0.1974695	-0.1906611	-0.1748847	-0.1803571	-0.1921287	-0.2133197	-0.2246803	-0.2372373	-0.2389604	-0.2289904	-0.1999337	-0.1381851	-0.06286742	-0.01711953	-0.02033913	-0.03679543	-0.05034251	-0.05729811	-0.06478803	-0.06817148	-0.07143673	-0.0737557	-0.08074459	-0.08105113	-0.08050343	-0.08016391	-0.0748589	-0.07170722	-0.06451837	-0.06007748	-0.04365008	-0.01573911	0.02680162	0.0557947	0.06588	0.04403218	0.008510611	-0.03112175	-0.0543557	-0.06557525	-0.05483771	-0.04659463	-0.0391874	-0.03765211	-0.03085337	-0.02415254	-0.01984146	-0.009876306	0.02037847	0.03290404	0.03473807	0.04113064	0.0498375	0.05681398	0.06593996	0.07026429	0.08139702	0.0828969	0.0707097	0.04177196	0.004537474	-0.02634072	-0.02492837	0.005794731	0.02322458	0.02476741	0.03233751	0.04439881	0.08959863
13.1S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.07654297	-0.07964514	0.01821956	0.153754	0.2387026	0.268161	0.2439142	0.1982859	0.1206533	0.06180489	0.0328836	0.004427928	0.01277265	-0.005722761	0.05199664	0.0534987	-10	-10	-0.1297168	-0.4235547	-0.4188856	-0.3581552	-0.3431277	-0.3459511	-0.3566025	-0.3528174	-0.3360567	-0.3256793	-0.3169236	-0.3242462	-0.3363864	-0.3473128	-0.3447017	-0.3156348	-0.2852776	-0.2704265	-0.2689825	-0.2853417	-0.3060107	-0.341857	-0.3670428	-0.3945178	-0.385808	-0.3379806	-0.2816287	-0.2317508	-0.1925835	-0.158986	-0.1458479	-0.1539087	-0.1673404	-0.19483	-0.2280711	-0.2512136	-0.2722062	-0.2872068	-0.2976648	-0.2938773	-0.2820171	-0.2713987	-0.2670294	-0.2657803	-0.2606762	-0.243937	-0.2136943	-0.1832352	-0.1541631	-0.1397335	-0.148048	-0.178565	-0.2077298	-0.2439879	-0.2754273	-0.2980191	-0.3084731	-0.3143299	-0.3097956	-0.3052226	-0.2905002	-0.2722892	-0.2412274	-0.2149987	-0.1785357	-0.150235	-0.129234	-0.1286286	-0.147374	-0.1701808	-0.192186	-0.2107764	-0.2208091	-0.213827	-0.2130363	-0.2148486	-0.2283103	-0.2287132	-0.2509176	-0.2635058	-0.2696229	-0.2520261	-0.2103586	-0.1490752	-0.1168264	-0.1419913	-0.1883217	-0.2153705	-0.2199223	-0.2162862	-0.1983746	-0.1834327	-0.16966	-0.1583934	-0.151351	-0.1487572	-0.142201	-0.1337126	-0.1244225	-0.1099454	-0.09761076	-0.07869058	-0.05933659	-0.02748605	0.002206364	0.02358195	0.01641634	-0.01147602	-0.05154122	-0.0816476	-0.1029013	-0.1012907	-0.08862981	-0.07659032	-0.07283449	-0.06762186	-0.06489822	-0.06450623	-0.06954513	-0.05826594	-0.04598762	-0.04885644	-0.04208982	-0.02649519	-0.007423654	0.008902539	0.02149428	0.0364683	0.05437701	0.06861852	0.06715479	0.04550871	0.00835365	-0.01721577	-0.009979145	-0.003365761	-0.003349241	-0.005674609	-0.01279953	0.00571641	0.058396
12.8S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.1014124	-0.1486338	-0.08185915	0.02717211	0.1309673	0.1749321	0.1949754	0.1870567	0.1717567	0.1385059	0.1171405	0.1050518	0.06247352	0.05615117	0.03984863	0.0005380139	-10	-10	-0.3135513	-0.5513303	-0.4553499	-0.3670603	-0.3516522	-0.3470989	-0.3469454	-0.3427091	-0.3310033	-0.3201258	-0.305378	-0.3016796	-0.3129325	-0.3260272	-0.3355803	-0.3201868	-0.2825516	-0.2494539	-0.2416385	-0.2422131	-0.2639302	-0.2871771	-0.3219998	-0.350977	-0.3522843	-0.3109349	-0.2670268	-0.2342529	-0.2056033	-0.1903041	-0.1860293	-0.1966146	-0.2148294	-0.2470199	-0.2836888	-0.3151126	-0.3373	-0.3490221	-0.3464438	-0.3388335	-0.3307908	-0.3180331	-0.3012846	-0.2851295	-0.2728792	-0.2515387	-0.2136368	-0.1699708	-0.1271259	-0.1067546	-0.1200214	-0.1513334	-0.1826442	-0.2134607	-0.2508368	-0.2732761	-0.2889777	-0.2933255	-0.2935475	-0.2814825	-0.2749968	-0.2588681	-0.2423958	-0.220145	-0.1980051	-0.1693625	-0.1500847	-0.1416346	-0.1518973	-0.1718592	-0.1957959	-0.2243427	-0.2448535	-0.2548276	-0.2541433	-0.259852	-0.2587826	-0.2670369	-0.2840649	-0.2950913	-0.2888627	-0.2718132	-0.223656	-0.1935812	-0.22937	-0.3058448	-0.3628493	-0.386447	-0.3873671	-0.3693526	-0.3308893	-0.2938534	-0.264149	-0.2387956	-0.2197567	-0.2054341	-0.1935731	-0.1801618	-0.1589532	-0.1349986	-0.1088861	-0.08086571	-0.05480386	-0.03229284	-0.01189513	-0.01599973	-0.03491348	-0.07199775	-0.1073688	-0.1332898	-0.1409684	-0.1399702	-0.1272289	-0.1183511	-0.1100611	-0.1058806	-0.1083309	-0.1184068	-0.1224386	-0.1151856	-0.1211354	-0.1242421	-0.118675	-0.09829052	-0.07289554	-0.04692	-0.02523275	0.001801417	0.03373534	0.05839086	0.0731779	0.05722952	0.02441985	0.00175562	0.007105903	-0.00757862	-0.01755751	-0.02111088	-0.03261214	-0.03064169	0.004657098
