             VARIABLE : meridional current (m/sec)
             DATA SET : GODAS-MOM OUTPUT
             FILENAME : uv_5day.nc
             FILEPATH : /home/las/datasets/ocean_analysis/NRIG/
             BAD FLAG : -10           
             SUBSET   : 181 by 189 points (LONGITUDE-LATITUDE)
             DEPTH (m): 5
             TIME     : 06-AUG-2016 12:00 JULIAN
  	30E  	30.5E	31E  	31.5E	32E  	32.5E	33E  	33.5E	34E  	34.5E	35E  	35.5E	36E  	36.5E	37E  	37.5E	38E  	38.5E	39E  	39.5E	40E  	40.5E	41E  	41.5E	42E  	42.5E	43E  	43.5E	44E  	44.5E	45E  	45.5E	46E  	46.5E	47E  	47.5E	48E  	48.5E	49E  	49.5E	50E  	50.5E	51E  	51.5E	52E  	52.5E	53E  	53.5E	54E  	54.5E	55E  	55.5E	56E  	56.5E	57E  	57.5E	58E  	58.5E	59E  	59.5E	60E  	60.5E	61E  	61.5E	62E  	62.5E	63E  	63.5E	64E  	64.5E	65E  	65.5E	66E  	66.5E	67E  	67.5E	68E  	68.5E	69E  	69.5E	70E  	70.5E	71E  	71.5E	72E  	72.5E	73E  	73.5E	74E  	74.5E	75E  	75.5E	76E  	76.5E	77E  	77.5E	78E  	78.5E	79E  	79.5E	80E  	80.5E	81E  	81.5E	82E  	82.5E	83E  	83.5E	84E  	84.5E	85E  	85.5E	86E  	86.5E	87E  	87.5E	88E  	88.5E	89E  	89.5E	90E  	90.5E	91E  	91.5E	92E  	92.5E	93E  	93.5E	94E  	94.5E	95E  	95.5E	96E  	96.5E	97E  	97.5E	98E  	98.5E	99E  	99.5E	100E  	100.5E	101E  	101.5E	102E  	102.5E	103E  	103.5E	104E  	104.5E	105E  	105.5E	106E  	106.5E	107E  	107.5E	108E  	108.5E	109E  	109.5E	110E  	110.5E	111E  	111.5E	112E  	112.5E	113E  	113.5E	114E  	114.5E	115E  	115.5E	116E  	116.5E	117E  	117.5E	118E  	118.5E	119E  	119.5E	120E  
17.2S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	0.03078758	-0.07024093	-0.2734402	-0.326263	-0.2917947	0.2063129	0.1276536	0.07154508	0.04949073	0.1506535	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.01509563	0.05972244	0.1143486	0.06349759	0.01191117	-0.0007717652	-0.02375036	-0.01788179	-0.02130486	-0.01555676	-0.01857929	-0.02883632	-0.04692366	-0.05776527	-0.0637937	-0.07180143	-0.08980609	-0.09003202	-0.1028357	-0.1013454	-0.09913719	-0.08285138	-0.04557925	-0.09684536	-0.1063206	-0.1216073	-0.1088415	-0.1058255	-0.0842484	-0.05634458	-0.05378776	-0.04504184	-0.05724033	-0.0530702	-0.05442023	-0.05890241	-0.07882024	-0.09200278	-0.1179937	-0.1393871	-0.1565187	-0.1377595	-0.1036218	-0.07287034	-0.09508226	-0.1237631	-0.1374383	-0.1250339	-0.1078536	-0.09245926	-0.08398443	-0.06965233	-0.06400596	-0.05461241	-0.05031038	-0.0508029	-0.04929399	-0.04860828	-0.04402786	-0.04457336	-0.04176975	-0.03947546	-0.03538964	-0.01863551	0.012122	0.02955827	0.0195073	-0.01949003	-0.05050582	-0.06599427	-0.05391282	-0.03566489	-0.02472667	-0.02240364	-0.02492859	-0.03860882	-0.05258044	-0.07584311	-0.08433709	-0.08319536	-0.08321534	-0.08974363	-0.09157927	-0.07438214	-0.06164356	-0.05864777	-0.0719076	-0.07478093	-0.08860962	-0.08956707	-0.09947796	-0.09075087	-0.08296151	-0.06034479	-0.04108965	-0.005061154	0.02802417	0.05298234	0.05841457	0.05052374	0.02070353	-0.008906232	-0.04652539	-0.08164524	-0.09310996	-0.06460192	-0.02532956	0.001752594	0.01273514	0.01921858	0.02520053	0.05259027	0.08993624	0.116171	0.1052866	0.0265903	-0.100769	-0.1887721	-0.1249461	-0.02530344	0.04692182	0.08158937	0.06999268	0.06452887	0.0688303	0.03896764	0.0004184578	-0.06415938	-0.1106806	-0.1692668	-0.1956514	-0.1863537	-0.1704979	-0.1150375	-0.0721711	-0.07272141	-0.09086362	-0.1104534	-0.05624447	-0.008141557	-0.05752979
16.8S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.1548186	-0.2633646	-0.4650828	0.131563	0.1295412	0.0804717	0.0722172	0.09770518	0.09482993	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.02657685	0.09489764	0.1643596	0.07482556	0.01954453	-0.001128796	-0.0318538	-0.02410932	-0.02780707	-0.0182913	-0.02177899	-0.03034063	-0.05192074	-0.05741996	-0.06698329	-0.07513691	-0.09406796	-0.1071976	-0.1094267	-0.09155436	-0.07642198	-0.0757912	-0.04924709	-0.09203917	-0.1135764	-0.1104071	-0.1068987	-0.1129997	-0.09123065	-0.07355256	-0.05392876	-0.05573189	-0.05229601	-0.06293285	-0.06548134	-0.07127188	-0.07727461	-0.08825526	-0.1068798	-0.1422387	-0.1645952	-0.1639649	-0.1229093	-0.07789217	-0.08724559	-0.1222126	-0.132007	-0.119543	-0.09529335	-0.08867747	-0.07476384	-0.06557915	-0.05594361	-0.05628791	-0.05787596	-0.06472687	-0.06745247	-0.06530152	-0.0575308	-0.0474315	-0.04665305	-0.04148282	-0.03887951	-0.01987344	0.002471172	0.02314009	0.01100927	-0.02001681	-0.0387985	-0.03981603	-0.03328784	-0.02673466	-0.02385806	-0.02185482	-0.02240568	-0.03095952	-0.04917475	-0.05565015	-0.05995465	-0.04965098	-0.06747821	-0.1000288	-0.1059539	-0.09561537	-0.07197738	-0.06552938	-0.06126349	-0.06537446	-0.06554018	-0.08676596	-0.1058013	-0.1191079	-0.1099014	-0.09392658	-0.06120548	-0.01873641	0.02231449	0.04906128	0.05484066	0.04387733	0.02098176	-0.002255839	-0.03485097	-0.06696966	-0.06386261	-0.03048048	-0.002936966	0.005998801	0.0104719	0.008852295	0.01018951	0.03360079	0.0714201	0.09924726	0.08459097	-0.002548081	-0.1481245	-0.1795716	-0.07543439	0.01470147	0.05941347	0.07305931	0.06879142	0.07277801	0.06503818	0.05677596	0.002029771	-0.06693642	-0.1215032	-0.1899328	-0.1972888	-0.1821332	-0.1534369	-0.09666985	-0.0563971	-0.05121832	-0.1024361	-0.09798446	-0.09555886	-0.02835845	-0.0510353
16.5S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.05035858	-0.1326827	-0.5766782	-0.04128223	0.1384207	0.09088318	0.09234886	0.06916523	0.1158759	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.05599301	0.1715788	0.1681096	0.1081561	0.02037129	-0.001066385	-0.03891451	-0.03066268	-0.03246816	-0.02355358	-0.02837207	-0.03262432	-0.05081741	-0.06163871	-0.06898655	-0.0841001	-0.1014698	-0.1185166	-0.1092996	-0.09553923	-0.05953387	-0.05859288	-0.06652747	-0.08136987	-0.1193074	-0.1098126	-0.09592	-0.1051193	-0.09943055	-0.08139584	-0.070174	-0.05771695	-0.06152363	-0.07151614	-0.07946511	-0.08834202	-0.09007288	-0.0874237	-0.1042831	-0.1335503	-0.1678843	-0.1725775	-0.1399963	-0.08863762	-0.07650597	-0.1056215	-0.1173612	-0.1016738	-0.08668718	-0.07645633	-0.07000554	-0.06064627	-0.0577915	-0.06035224	-0.07189623	-0.08085058	-0.09036212	-0.08499528	-0.07197277	-0.05586008	-0.04516505	-0.04358229	-0.03568835	-0.02072725	0.002468564	0.01438738	0.003396775	-0.01933547	-0.02242565	-0.02138669	-0.02112641	-0.02445442	-0.02070257	-0.01742486	-0.01578331	-0.02451708	-0.0283686	-0.02764354	-0.01731441	-0.01969676	-0.0650484	-0.116978	-0.1252642	-0.1096154	-0.07871809	-0.05262152	-0.04349164	-0.04112032	-0.06147178	-0.09152055	-0.1311445	-0.1464668	-0.1497192	-0.1291338	-0.08912047	-0.03449909	0.00687586	0.03059114	0.03532099	0.02786955	0.01808228	0.001901724	-0.02494712	-0.04135458	-0.01889977	0.005705629	0.003051915	0.001486008	-0.0035477	-0.009489222	-0.00980431	0.009741912	0.03759628	0.07477189	0.05871663	-0.02757676	-0.1673398	-0.1311019	-0.0261083	0.03040555	0.04873719	0.06212184	0.07181515	0.07619016	0.07217529	0.06292312	-0.007651763	-0.0668266	-0.1189723	-0.1787721	-0.1574772	-0.1426816	-0.1343291	-0.08289403	-0.05702293	-0.04810225	-0.09660721	-0.153313	-0.1372635	-0.08163851	-0.06998245
16.1S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.04105569	-0.6095612	-0.2047321	0.1077443	0.09117289	0.09535896	0.08776629	0.1586529	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.04308191	0.1542532	0.2443753	0.1251716	0.0330692	-0.008070034	-0.04231114	-0.04003473	-0.03655965	-0.03620907	-0.03439282	-0.03827852	-0.05120342	-0.06031919	-0.07512784	-0.09129687	-0.1108287	-0.1211652	-0.1093383	-0.1055721	-0.06086843	-0.06950212	-0.06931422	-0.08291437	-0.125292	-0.1226919	-0.07912015	-0.09219138	-0.09039321	-0.09369005	-0.07900351	-0.06906607	-0.06613079	-0.07116341	-0.08641362	-0.09524214	-0.09933084	-0.0969982	-0.1005755	-0.126595	-0.1612593	-0.1721355	-0.1437128	-0.0952322	-0.06580082	-0.07935151	-0.09055939	-0.07966597	-0.0717473	-0.07057999	-0.06796577	-0.06471146	-0.06560251	-0.07208189	-0.08647884	-0.1010818	-0.1082446	-0.1073517	-0.0880973	-0.06790573	-0.05103804	-0.04196436	-0.03330035	-0.01623478	0.002466794	0.01290882	-0.00303226	-0.0120658	-0.01302252	-0.01019827	-0.01359596	-0.01947004	-0.01541542	-0.01174324	-0.01047684	-0.01091671	-0.006085746	0.008921851	0.01876405	-0.002697106	-0.07025628	-0.1219406	-0.1234655	-0.1139823	-0.07675792	-0.04647402	-0.03140047	-0.03715454	-0.0716105	-0.1134357	-0.1560411	-0.1788803	-0.1850724	-0.1652504	-0.1196393	-0.0588113	-0.01785582	0.004682771	0.007546412	0.007544677	0.008740317	0.004093633	-0.006507724	0.00336402	0.02830233	0.02236632	-0.001009229	-0.0008524092	-0.01220207	-0.02397799	-0.01750625	-0.007219274	0.01261833	0.04636732	0.04724352	-0.04047315	-0.1362979	-0.08245882	0.005080321	0.02166777	0.03391495	0.05917154	0.08021931	0.07676295	0.08072565	0.05275777	-0.01367433	-0.06204334	-0.1124248	-0.1588255	-0.1110516	-0.0990367	-0.1042048	-0.08492095	-0.06968395	-0.07215884	-0.1166291	-0.1883581	-0.1798048	-0.1338022	-0.1140804
15.8S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.5881098	-0.2781608	0.03067543	0.09017734	0.1005949	0.1034712	0.1674276	0.1196217	0.04589833	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	0.355841	0.1462966	0.04076715	-0.01619789	-0.05278656	-0.04726396	-0.046264	-0.04597089	-0.03729138	-0.0463884	-0.05171666	-0.06122892	-0.07804077	-0.1021448	-0.1183966	-0.1288624	-0.1063862	-0.1095404	-0.08873302	-0.05987461	-0.06517837	-0.08384808	-0.1293209	-0.1386236	-0.06771652	-0.06929958	-0.07807292	-0.08919478	-0.08827331	-0.08063134	-0.06898388	-0.06870747	-0.07195703	-0.08911779	-0.09689317	-0.1031042	-0.1074116	-0.1240935	-0.1555978	-0.1673919	-0.1392598	-0.09447462	-0.05871567	-0.05293705	-0.05978966	-0.05561053	-0.06025943	-0.07581753	-0.07851044	-0.08151141	-0.07972367	-0.09027641	-0.1039925	-0.1188304	-0.1247838	-0.1211134	-0.1015581	-0.07731675	-0.05650864	-0.03787546	-0.02719678	-0.01066092	0.008788457	0.015135	-0.0007555981	-0.006399193	-0.006522308	-0.007332847	-0.01184975	-0.01335641	-0.009619827	-0.009375533	-0.007351176	0.000502802	0.01565127	0.03582071	0.04099532	-0.001307538	-0.08014261	-0.1167285	-0.1087514	-0.1073159	-0.08067255	-0.05052119	-0.03906532	-0.05687105	-0.09229678	-0.1433564	-0.178364	-0.203353	-0.2016621	-0.1882451	-0.1415455	-0.08539443	-0.03952163	-0.02309004	-0.01820161	-0.01951785	-0.002488145	0.009521015	0.02766323	0.05278198	0.06252959	0.02252143	0.005337779	-0.00286518	-0.02700951	-0.0351099	-0.02233461	-0.01373617	0.005032241	0.04355569	0.04434436	-0.02144585	-0.08812468	-0.05237922	0.007955708	0.01581758	0.03554756	0.0643984	0.08055516	0.0782392	0.07345452	0.02887787	-0.01807253	-0.04518551	-0.1010414	-0.1439503	-0.09684981	-0.06230831	-0.08141694	-0.07701677	-0.0882636	-0.08819109	-0.1257458	-0.1981886	-0.2076107	-0.1612851	-0.1547341
15.5S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.5446779	-0.3188031	-0.009987656	0.07905582	0.110903	0.1246864	0.1406152	0.1222313	0.08809723	0.04480503	0.02720439	-10	-10	-10	-10	-10	-10	-10	-10	-10	0.4139917	0.1793003	0.03640491	-0.0249191	-0.05560015	-0.05212559	-0.0569023	-0.04986613	-0.04141	-0.0491244	-0.06022133	-0.06608076	-0.08286675	-0.1050282	-0.127308	-0.1278717	-0.1103245	-0.1016036	-0.1120747	-0.03544535	-0.04264225	-0.08354814	-0.1432346	-0.1430332	-0.06727091	-0.05339731	-0.06739936	-0.08473123	-0.09396459	-0.09224594	-0.07749676	-0.0634215	-0.05792345	-0.06885236	-0.08462984	-0.09865073	-0.1164861	-0.1274314	-0.1490695	-0.1580263	-0.128906	-0.08882552	-0.04562494	-0.02541333	-0.02550835	-0.02905298	-0.05649757	-0.08833637	-0.1023325	-0.1042112	-0.1078218	-0.1098273	-0.1247912	-0.1323346	-0.1356931	-0.1282809	-0.1111347	-0.08512928	-0.06137611	-0.03669145	-0.02085956	-0.006075503	0.01297032	0.01349125	-0.002070975	-0.008339016	-0.01100263	-0.01548684	-0.01367537	-0.009030811	-0.005659461	-0.008961979	-0.009867148	0.006196514	0.0282579	0.04784235	0.04406084	-0.01237625	-0.08937457	-0.1089858	-0.09557892	-0.09035716	-0.08853275	-0.06586923	-0.0698506	-0.0900566	-0.1334953	-0.1690273	-0.2008218	-0.2066641	-0.2060365	-0.1830129	-0.1529201	-0.09949801	-0.05839843	-0.03714763	-0.03669544	-0.03279095	-0.009949886	0.02859936	0.06526082	0.09112824	0.08035325	0.0307789	0.01171222	-0.01726317	-0.04634797	-0.05060748	-0.02859752	-0.007545119	0.0131629	0.05091897	0.05899854	0.01425077	-0.04473647	-0.03774687	-0.006907951	0.01481567	0.04774978	0.06904878	0.07395157	0.07504676	0.05216617	0.001543058	-0.01040912	-0.02138157	-0.07599245	-0.1388496	-0.1030278	-0.06671216	-0.06113531	-0.06991805	-0.08231323	-0.09441848	-0.1206026	-0.2020298	-0.1997764	-0.1713032	-0.1653706
15.2S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.5520477	-0.3442047	-0.00449734	0.0851756	0.1321978	0.1456416	0.13761	0.09992722	0.06311551	0.06971791	0.04709682	0.04577494	-10	-10	-10	-10	-10	-10	-10	-10	0.4933032	0.1922041	0.03237277	-0.02468812	-0.04864785	-0.06368836	-0.07069767	-0.05972779	-0.05065242	-0.06062262	-0.07775976	-0.08684001	-0.08939519	-0.1068319	-0.1220029	-0.121476	-0.11173	-0.1050615	-0.1078685	-0.02603061	-0.04448249	-0.0780464	-0.1507503	-0.1345669	-0.06541679	-0.04748103	-0.06370376	-0.07995194	-0.09352692	-0.0936356	-0.07668693	-0.06251574	-0.04835425	-0.05257936	-0.0632338	-0.0905494	-0.1178704	-0.1333942	-0.1438746	-0.1416016	-0.1159786	-0.07332743	-0.02819056	0.003735625	0.006787864	-0.007507336	-0.05718733	-0.1070557	-0.1238168	-0.1320554	-0.1324057	-0.1324763	-0.140437	-0.1446201	-0.1392191	-0.1300028	-0.1176131	-0.09352084	-0.06670044	-0.03880814	-0.02001795	-0.00419835	0.01253511	0.006536154	-0.00628554	-0.01620368	-0.02361422	-0.02470198	-0.01362458	-0.004905858	-0.005817574	-0.006032467	-0.01315814	0.007108887	0.02189479	0.04819579	0.02963421	-0.02249187	-0.08850565	-0.09965906	-0.07864049	-0.0831468	-0.09294334	-0.09731541	-0.1052623	-0.1340639	-0.1642179	-0.1917967	-0.1990784	-0.2040255	-0.1863608	-0.1678408	-0.1399153	-0.1058313	-0.06339016	-0.04487018	-0.04152873	-0.0402109	-0.009211943	0.04460642	0.09218567	0.110361	0.08333527	0.03763496	0.006755891	-0.03872737	-0.07280677	-0.06884027	-0.03776427	0.005654645	0.02584837	0.06191283	0.07504331	0.05386174	-0.007555176	-0.02005726	-0.02265269	0.001917509	0.05196844	0.07531775	0.06887007	0.06502017	0.02446881	-0.001970167	-0.0006274515	0.01597693	-0.05315047	-0.1250644	-0.1309989	-0.08956271	-0.06865063	-0.05632558	-0.06846656	-0.08197618	-0.1240152	-0.1958758	-0.1839925	-0.1750288	-0.1649016
14.9S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.621891	-0.3552658	0.0007214429	0.126073	0.1634344	0.1716243	0.1385461	0.07271779	0.03315067	0.04964073	0.0633143	0.04016679	0.01032396	-10	-10	-10	-10	-10	-10	0.07315256	0.5554372	0.1904171	0.03774173	-0.01006836	-0.04583441	-0.07805276	-0.08358432	-0.07195713	-0.06219063	-0.07419971	-0.09273592	-0.09914181	-0.09074949	-0.09732692	-0.1023914	-0.1113795	-0.1119714	-0.1134812	-0.1037873	-0.05328234	-0.04515381	-0.08728583	-0.1372568	-0.1088653	-0.05949934	-0.04690202	-0.06200358	-0.08102029	-0.09058644	-0.08881897	-0.07172798	-0.0564304	-0.0484575	-0.04151665	-0.05455273	-0.08039124	-0.1152896	-0.1301454	-0.1338501	-0.1237667	-0.09896352	-0.06321826	-0.01144462	0.02506706	0.02902165	0.002373778	-0.06030852	-0.1192933	-0.1424266	-0.1575427	-0.1552156	-0.1523665	-0.1549124	-0.1516353	-0.1416688	-0.1303754	-0.1202262	-0.0992497	-0.07053901	-0.04091102	-0.02065871	-0.0004611802	0.008081997	0.003969882	-0.01360229	-0.02607341	-0.03182008	-0.02879934	-0.01491288	-0.007029158	-0.00290864	-0.007333784	-0.0128869	-0.008953822	0.01087655	0.02683245	0.01090185	-0.03296605	-0.0793578	-0.0834589	-0.06952219	-0.08310167	-0.1121332	-0.1297862	-0.1506729	-0.1691534	-0.1907982	-0.1971476	-0.195177	-0.1846942	-0.165955	-0.141001	-0.1211414	-0.09560056	-0.06601381	-0.04553457	-0.04178023	-0.0375641	-0.008850864	0.04616556	0.09826289	0.1145902	0.07828578	0.03323074	-0.009889379	-0.06658214	-0.09556628	-0.08117143	-0.03802462	0.01389701	0.04327902	0.06501549	0.09112345	0.07776175	0.02980209	-0.003694892	-0.02111029	-0.01532559	0.04272364	0.0718792	0.07396484	0.04844071	0.01945938	0.005098461	0.02195519	0.03243202	-0.02416566	-0.1190123	-0.1462376	-0.1196678	-0.08301777	-0.05371015	-0.0553362	-0.07686446	-0.1384638	-0.1945325	-0.1622441	-0.1565922	-0.1688811
14.6S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.6930956	-0.3571871	-0.03336183	0.1718996	0.2134919	0.2095504	0.1515176	0.06569733	0.01297663	0.04384452	0.0535361	0.01935274	-0.02523007	-10	-10	-10	-10	-10	-10	0.1493464	0.5729443	0.1831425	0.0558581	0.008448737	-0.05000387	-0.08799224	-0.09173758	-0.08230986	-0.0699392	-0.08326607	-0.1022339	-0.1050781	-0.08996364	-0.08728106	-0.08911378	-0.1121014	-0.1260022	-0.130694	-0.1145363	-0.09518592	-0.06327747	-0.1035931	-0.1065472	-0.08451188	-0.05316979	-0.04758192	-0.06567603	-0.08201845	-0.08474711	-0.08148579	-0.06272334	-0.05402004	-0.04440658	-0.04133344	-0.05068593	-0.077869	-0.1062324	-0.1200735	-0.1129511	-0.1000144	-0.08415271	-0.05241584	-0.0003603919	0.03905496	0.04173398	0.005499145	-0.06177743	-0.1253646	-0.1577859	-0.1781581	-0.1781441	-0.1741545	-0.1708109	-0.156506	-0.1443339	-0.1329986	-0.1261413	-0.1063756	-0.07522318	-0.04479004	-0.02005408	-0.003141811	0.004830875	-0.00571775	-0.02306894	-0.03871294	-0.04023061	-0.03326795	-0.02114332	-0.009567447	-0.004353995	-0.008930531	-0.02124164	-0.02380844	-0.01199965	-0.001277225	-0.01157739	-0.036259	-0.06467345	-0.06960505	-0.0689396	-0.09562187	-0.1389334	-0.1700191	-0.1941251	-0.2081869	-0.2097861	-0.202717	-0.1846475	-0.1671084	-0.144717	-0.1186932	-0.09672145	-0.08049231	-0.06192397	-0.0462595	-0.03691822	-0.03067221	-0.006511142	0.03898395	0.08805003	0.1107268	0.07520732	0.02284888	-0.03534975	-0.09021816	-0.1076298	-0.07803889	-0.03053457	0.02523167	0.05634283	0.0719947	0.08729022	0.08740391	0.04923745	0.01648806	-0.01131344	-0.005649526	0.02567367	0.06418934	0.06882736	0.04907065	0.02212977	0.02267406	0.03532905	0.03916905	-0.01110312	-0.1066294	-0.1485286	-0.1354115	-0.0921568	-0.05525506	-0.04820908	-0.08591804	-0.1723354	-0.2051301	-0.144265	-0.1213024	-0.1488248
14.3S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.7242655	-0.3656053	-0.1071389	0.1751755	0.2754733	0.262477	0.1946632	0.0965281	0.03869699	0.04366408	0.04309752	-0.02926396	-0.06224927	-0.04789628	-10	-10	-10	-10	-10	0.2610649	0.5741206	0.1732884	0.0838536	0.01455399	-0.05385538	-0.08759949	-0.09479343	-0.08489472	-0.07202126	-0.09311863	-0.1094973	-0.1185846	-0.09366271	-0.08453213	-0.0836288	-0.1169121	-0.1318836	-0.1462405	-0.1444653	-0.1243909	-0.1039979	-0.1128543	-0.09397431	-0.07288764	-0.05350728	-0.05338766	-0.07257883	-0.08291078	-0.07847336	-0.07267136	-0.05696654	-0.0544709	-0.04533355	-0.04324248	-0.05426955	-0.07734232	-0.1022829	-0.1010556	-0.08900557	-0.07665332	-0.06886649	-0.04061402	0.008120996	0.04860066	0.04945127	0.006571774	-0.06593489	-0.1291378	-0.1726348	-0.189438	-0.1897996	-0.1903224	-0.1817716	-0.164169	-0.1481745	-0.1377368	-0.1340884	-0.113592	-0.08067401	-0.0473234	-0.02439823	-0.01369303	-0.01034012	-0.02106538	-0.03927448	-0.04543994	-0.04525873	-0.03846194	-0.02889572	-0.01682352	-0.00967997	-0.0113076	-0.02541102	-0.03230166	-0.02920238	-0.02527116	-0.0255499	-0.03434246	-0.04913571	-0.0615919	-0.07852391	-0.1228006	-0.1736166	-0.2180536	-0.2456724	-0.2525147	-0.236719	-0.2109722	-0.1790191	-0.1517717	-0.1286217	-0.1007338	-0.07738574	-0.0663522	-0.05498422	-0.04359541	-0.03142257	-0.0223975	-0.004282279	0.03045813	0.07310069	0.09761301	0.07151721	0.008719979	-0.05649737	-0.100537	-0.1038892	-0.0661343	-0.01009289	0.03841417	0.06854524	0.07543169	0.0783331	0.07502701	0.05101979	0.02149333	0.004950274	0.009575197	0.029358	0.0486414	0.0656124	0.05420881	0.03470817	0.03755751	0.04502361	0.03749457	-0.009824146	-0.09250044	-0.138604	-0.134011	-0.09866546	-0.05371537	-0.05124257	-0.1087337	-0.2277226	-0.2259386	-0.1417014	-0.09230803	-0.1220415
14S	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-0.7323374	-0.3890098	-0.1965063	0.1227197	0.3185312	0.3325471	0.2607374	0.1680742	0.0985559	0.07167904	0.02728425	-0.06623169	-0.1109931	-0.07711793	-10	-10	-10	-10	-10	0.3792109	0.5769663	0.1674755	0.1104922	0.01478174	-0.05487611	-0.08445924	-0.09458528	-0.08328804	-0.07104083	-0.1021032	-0.1161041	-0.1299132	-0.09668881	-0.08340293	-0.07944109	-0.1123696	-0.1271932	-0.1519016	-0.1579397	-0.1492392	-0.1285393	-0.1253831	-0.1003166	-0.06857646	-0.05968952	-0.06665375	-0.08260467	-0.08828532	-0.07494713	-0.0689821	-0.05410274	-0.05846072	-0.05169514	-0.05093639	-0.05858874	-0.08074392	-0.09128584	-0.08548509	-0.06960408	-0.06217887	-0.05306321	-0.03106177	0.01595965	0.05522742	0.05241446	0.006181309	-0.06593416	-0.1304029	-0.1780888	-0.1934137	-0.1928238	-0.1964201	-0.1889466	-0.1700035	-0.1529287	-0.1446641	-0.1431008	-0.1254078	-0.09079162	-0.05601602	-0.03806783	-0.03563235	-0.03448635	-0.04310263	-0.04987168	-0.04197423	-0.03799111	-0.04064887	-0.0353705	-0.02878989	-0.01676681	-0.01677673	-0.0210889	-0.03208355	-0.02754045	-0.03666487	-0.0314163	-0.03726351	-0.04162715	-0.06484224	-0.1004712	-0.1565665	-0.2174276	-0.2770632	-0.3047119	-0.2986367	-0.2669911	-0.2219934	-0.177485	-0.1358342	-0.112848	-0.0852377	-0.06934308	-0.05847242	-0.05156222	-0.03736912	-0.02574558	-0.01393307	-0.00205462	0.02426521	0.05808332	0.08158258	0.05955857	-0.002948731	-0.06460747	-0.09640938	-0.08957373	-0.04584654	0.01033757	0.0564911	0.07573526	0.07900099	0.07084481	0.0590814	0.03687505	0.01876271	0.01243208	0.02292164	0.03243519	0.04332693	0.06209882	0.05978544	0.04722934	0.04787867	0.05095728	0.02959692	-0.008393888	-0.08309008	-0.1185731	-0.1297093	-0.09187132	-0.0532856	-0.05415422	-0.155139	-0.2814149	-0.245139	-0.14398	-0.07945293	-0.112151
